temp,light,sound,CO2,class
0.041667,0.042424,0.005305,0.010811,no
0.347222,0,0.002653,0.032432,no
0.173611,0,0.005305,0.010811,no
0.131944,0,0.002653,0.016216,no
0.388889,0,0.002653,0.043243,no
0.479167,0,0.002653,0.259459,no
0.347222,0,0,0.032432,no
0.347222,0,0.005305,0.010811,no
0.347222,0,0.002653,0.005405,no
0.083333,0.054545,0.005305,0.010811,no
0.173611,0,0.002653,0.016216,no
0.347222,0.006061,0.005305,0.005405,no
0.520833,0,0.002653,0.351351,no
0.305556,0,0.005305,0.027027,no
0.215278,0,0.002653,0,no
0.347222,0.006061,0.005305,0.005405,no
0.083333,0.012121,0.002653,0.016216,no
0.215278,0,0,0.016216,no
0.777778,0.69697,0.005305,0.205405,yes
0.388889,0,0.002653,0.043243,no
0.083333,0.024242,0.002653,0.016216,no
0.173611,0.078788,0.005305,0.010811,no
0.305556,0.090909,0.005305,0.010811,no
0.520833,0,0.002653,0.324324,no
0.826389,0,0.002653,0.767568,no
0.173611,0,0.005305,0.010811,no
0.5625,0.060606,0.002653,0.124324,no
0.951389,0.89697,0.442971,0.632432,yes
0.736111,0,0.002653,0.697297,no
0.256944,0,0.002653,0,no
0.694444,0.721212,0.005305,0.248649,yes
0.868056,0.70303,0.169761,0.378378,yes
0.430556,0.060606,0.098143,0.027027,yes
0.388889,0,0.002653,0.064865,no
0.173611,0.072727,0.005305,0.010811,no
0.173611,0,0.002653,0,no
0.388889,0,0,0.037838,no
0.305556,0,0,0.021622,no
1,0.909091,0.806366,0.924324,yes
0.173611,0,0.002653,0,no
0.215278,0.10303,0.007958,0.010811,no
0.826389,0.721212,0.196286,0.243243,yes
0.305556,0,0,0.027027,no
0.173611,0.084848,0.005305,0.016216,no
0.131944,0.060606,0.023873,0.016216,no
0.173611,0,0.002653,0.016216,no
0.694444,0.084848,0.005305,0.318919,no
0.479167,0.757576,0.27321,0.037838,yes
0.305556,0,0.002653,0.027027,no
0.131944,0,0.005305,0,no
0.256944,0,0.005305,0.010811,no
0.305556,0,0,0.021622,no
0.131944,0.036364,0.005305,0,no
0.868056,0.690909,0.007958,0.735135,yes
0.5625,0.060606,0.002653,0.118919,no
0.777778,0,0,0.659459,no
0.083333,0,0.007958,0,no
0.951389,0.89697,0.098143,0.756757,yes
0.520833,0,0.007958,0.308108,no
0.256944,0,0.002653,0.027027,no
0.652778,0.727273,0.039788,0.075676,yes
0.479167,0,0.002653,0.2,no
0.347222,0,0.005305,0.010811,no
0.388889,0,0.002653,0.048649,no
0.826389,0.709091,0.013263,0.324324,yes
0.131944,0,0,0.010811,no
0.736111,0.981818,0.217507,0.237838,yes
0.736111,0.727273,0.01061,0.237838,yes
0.256944,0,0.002653,0.021622,no
0.479167,0,0,0.232432,no
0.083333,0.012121,0.005305,0.010811,no
0.694444,0.727273,0.119363,0.108108,yes
0.173611,0,0.002653,0.016216,no
0.083333,0.036364,0.005305,0.005405,no
0.347222,0,0,0.043243,no
0.131944,0.036364,0,0.016216,no
0.256944,0,0.002653,0.016216,no
0.305556,0,0.005305,0.010811,no
0.5625,0.939394,0.167109,0.043243,yes
0.256944,0,0.002653,0.005405,no
0.173611,0,0.002653,0,no
0.604167,0.024242,0.074271,0.367568,yes
0.430556,0.739394,0.108753,0.027027,yes
0.173611,0,0.005305,0.010811,no
0.736111,1,0.172414,0.562162,yes
0.083333,0.024242,0.002653,0.016216,no
0.305556,0,0.005305,0.021622,no
0.131944,0.036364,0.007958,0,no
0.131944,0,0.002653,0.016216,no
0.388889,0.939394,0.116711,0.194595,yes
0.826389,0.709091,0.159151,0.410811,yes
0.131944,0,0.002653,0,no
0.694444,0,0.005305,0.52973,no
0.694444,0.084848,0.002653,0.313514,no
0.479167,0,0.002653,0.237838,no
0.173611,0.084848,0.007958,0.010811,no
0.347222,0,0.005305,0.010811,no
0.604167,0.060606,0.002653,0.135135,no
0.256944,0,0.002653,0,no
0.604167,0.066667,0.007958,0.178378,no
