temp,light,sound,CO2,class
25.0,7,0.08,355,no
25.44,0,0.07,375,no
25.19,0,0.08,355,no
25.13,0,0.07,360,no
25.5,0,0.07,385,no
25.63,0,0.07,585,no
25.44,0,0.06,375,no
25.44,0,0.08,355,no
25.44,0,0.07,350,no
25.06,9,0.08,355,no
25.19,0,0.07,360,no
25.44,1,0.08,350,no
25.69,0,0.07,670,no
25.38,0,0.08,370,no
25.25,0,0.07,345,no
25.44,1,0.08,350,no
25.06,2,0.07,360,no
25.25,0,0.06,360,no
26.06,115,0.08,535,yes
25.5,0,0.07,385,no
25.06,4,0.07,360,no
25.19,13,0.08,355,no
25.38,15,0.08,355,no
25.69,0,0.07,645,no
26.13,0,0.07,1055,no
25.19,0,0.08,355,no
25.75,10,0.07,460,no
26.31,148,1.73,930,yes
26.0,0,0.07,990,no
25.31,0,0.07,345,no
25.94,119,0.08,575,yes
26.19,116,0.7,695,yes
25.56,10,0.43,370,yes
25.5,0,0.07,405,no
25.19,12,0.08,355,no
25.19,0,0.07,345,no
25.5,0,0.06,380,no
25.38,0,0.06,365,no
26.38,150,3.1,1200,yes
25.19,0,0.07,345,no
25.25,17,0.09,355,no
26.13,119,0.8,570,yes
25.38,0,0.06,370,no
25.19,14,0.08,360,no
25.13,10,0.15,360,no
25.19,0,0.07,360,no
25.94,14,0.08,640,no
25.63,125,1.09,380,yes
25.38,0,0.07,370,no
25.13,0,0.08,345,no
25.31,0,0.08,355,no
25.38,0,0.06,365,no
25.13,6,0.08,345,no
26.19,114,0.09,1025,yes
25.75,10,0.07,455,no
26.06,0,0.06,955,no
25.06,0,0.09,345,no
26.31,148,0.43,1045,yes
25.69,0,0.09,630,no
25.31,0,0.07,370,no
25.88,120,0.21,415,yes
25.63,0,0.07,530,no
25.44,0,0.08,355,no
25.5,0,0.07,390,no
26.13,117,0.11,645,yes
25.13,0,0.06,355,no
26.0,162,0.88,565,yes
26.0,120,0.1,565,yes
25.31,0,0.07,365,no
25.63,0,0.06,560,no
25.06,2,0.08,355,no
25.94,120,0.51,445,yes
25.19,0,0.07,360,no
25.06,6,0.08,350,no
25.44,0,0.06,385,no
25.13,6,0.06,360,no
25.31,0,0.07,360,no
25.38,0,0.08,355,no
25.75,155,0.69,385,yes
25.31,0,0.07,350,no
25.19,0,0.07,345,no
25.81,4,0.34,685,yes
25.56,122,0.47,370,yes
25.19,0,0.08,355,no
26.0,165,0.71,865,yes
25.06,4,0.07,360,no
25.38,0,0.08,365,no
25.13,6,0.09,345,no
25.13,0,0.07,360,no
25.5,155,0.5,525,yes
26.13,117,0.66,725,yes
25.13,0,0.07,345,no
25.94,0,0.08,835,no
25.94,14,0.07,635,no
25.63,0,0.07,565,no
25.19,14,0.09,355,no
25.44,0,0.08,355,no
25.81,10,0.07,470,no
25.31,0,0.07,345,no
25.81,11,0.09,510,no
25.19,12,0.08,355,no
26.13,115,0.53,625,yes
25.19,0,0.07,360,no
25.44,0,0.08,355,no
25.19,0,0.07,360,no
25.06,7,0.08,360,no
25.94,146,0.25,820,yes
25.44,0,0.08,355,no
25.44,0,0.08,350,no
25.88,14,0.07,705,no
26.13,118,0.82,615,yes
25.44,9,0.08,355,no
25.44,122,0.27,360,yes
25.31,119,0.16,360,yes
25.44,0,0.08,370,no
25.19,0,0.07,345,no
25.5,0,0.07,390,no
25.94,15,0.07,630,no
25.06,1,0.07,360,no
25.31,0,0.08,355,no
25.25,0,0.08,355,no
25.44,0,0.08,350,no
25.13,0,0.08,345,no
25.31,0,0.07,355,no
25.19,0,0.07,345,no
25.38,0,0.08,355,no
26.25,150,0.19,980,yes
25.25,0,0.06,365,no
25.94,120,1.71,580,yes
25.25,17,0.08,355,no
25.38,0,0.07,355,no
25.81,160,0.23,400,yes
26.13,165,0.08,910,yes
25.75,7,0.26,520,yes
26.19,116,0.22,730,yes
25.63,0,0.07,510,no
26.25,148,0.1,950,yes
25.25,0,0.07,355,no
25.19,123,0.08,420,yes
25.38,0,0.07,365,no
25.38,0,0.07,375,no
25.56,0,0.07,465,no
25.38,14,0.09,355,no
25.69,0,0.07,630,no
25.44,0,0.08,355,no
25.31,0,0.07,370,no
25.19,0,0.07,355,no
25.38,0,0.07,355,no
25.38,0,0.08,350,no
25.19,0,0.08,345,no
25.81,0,0.07,765,no
25.06,3,0.07,360,no
26.19,158,0.69,950,yes
